timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788733158899,284,S01_Browse_And_Checkout_T01_OpenApplication,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-1,,true,,53067,598,2,2,null,0,85,3
1788733158954,284,OpenApplication,200,OK,S01_Browse_And_Checkout 1-1,text,true,,53067,598,2,2,http://localhost/,278,0,3
1788733159092,219,S01_Browse_And_Checkout_T01_OpenApplication,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,53067,598,3,3,null,0,7,1
1788733159096,219,OpenApplication,200,OK,S01_Browse_And_Checkout 1-2,text,true,,53067,598,3,3,http://localhost/,210,0,1
1788733159290,230,S01_Browse_And_Checkout_T01_OpenApplication,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-3,,true,,53067,598,4,4,null,0,8,2
1788733159294,230,OpenApplication,200,OK,S01_Browse_And_Checkout 1-3,text,true,,53067,598,4,4,http://localhost/,198,0,2
1788733159494,191,S01_Browse_And_Checkout_T01_OpenApplication,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-4,,true,,53067,598,4,4,null,0,8,2
1788733159499,191,OpenApplication,200,OK,S01_Browse_And_Checkout 1-4,text,true,,53067,598,4,4,http://localhost/,183,0,2
1788733159693,229,S01_Browse_And_Checkout_T01_OpenApplication,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-5,,true,,53067,598,5,5,null,0,7,2
1788733159696,229,OpenApplication,200,OK,S01_Browse_And_Checkout 1-5,text,true,,53067,598,5,5,http://localhost/,180,0,2
1788733161272,211,S01_Browse_And_Checkout_T02_NavigateToTables,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-1,,true,,50851,763,5,5,null,0,1,0
1788733161319,164,S01_Browse_And_Checkout_T02_NavigateToTables,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,50851,763,5,5,null,0,1,0
1788733161272,211,NavigateToTables,200,OK,S01_Browse_And_Checkout 1-1,text,true,,50851,763,5,5,http://localhost/tables,209,0,0
1788733161319,164,NavigateToTables,200,OK,S01_Browse_And_Checkout 1-2,text,true,,50851,763,5,5,http://localhost/tables,162,0,0
1788733161529,153,S01_Browse_And_Checkout_T02_NavigateToTables,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-3,,true,,50851,763,5,5,null,0,1,0
1788733161529,153,NavigateToTables,200,OK,S01_Browse_And_Checkout 1-3,text,true,,50851,763,5,5,http://localhost/tables,151,0,0
1788733161697,155,S01_Browse_And_Checkout_T02_NavigateToTables,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-4,,true,,50851,763,5,5,null,0,2,0
1788733161698,155,NavigateToTables,200,OK,S01_Browse_And_Checkout 1-4,text,true,,50851,763,5,5,http://localhost/tables,154,0,0
1788733161932,164,S01_Browse_And_Checkout_T02_NavigateToTables,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-5,,true,,50851,763,5,5,null,0,2,0
