type,id,product_key,slug,price
table,121,121__,living-room-table8,420.00
table,118,118__,living-room-table7,236.00
table,117,117__,living-room-table6,89.00
table,116,116__,living-room-table5,167.00
table,115,115__,living-room-table4,75.00
table,114,114__,living-room-table3,320.00
table,113,113__,living-room-table2,880.00
table,106,106__,living-room-table1,100.00
table,105,105__,kitchen-table8,88.00
table,104,104__,kitchen-table7,129.00
chair,91,91__,modern-chair8,164.00
chair,90,90__,modern-chair7,95.00
chair,89,89__,modern-chair6,345.00
chair,88,88__,modern-chair5,950.00
chair,87,87__,modern-chair4,523.00
chair,86,86__,modern-chair3,231.00
chair,85,85__,modern-chair2,239.00
chair,76,76__,modern-chair1,124.00
chair,70,70__,ancient-chair6,345.00
chair,68,68__,ancient-chair5,143.00
